id,Label,timeset,group,country,year,season,start,end,lat,lng,notes,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality,triangles
38,Ipswich Town,,premier-league,England,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,6,16,22,25575417,79303229,104878646,5,0.381693,0.420211,20.632297,0.006803,0.017453,0,0.001055,0,1,0.491667,0.098051,59
41,Coventry City,,premier-league,England,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,3,18,21,23045365,95368661,118414026,4,0.413084,0.454374,11.782587,0.003173,0.024001,0,0.000974,0,1,0.637363,0.093471,58
42,Leicester City,,premier-league,England,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,36,19,55,375398027,301026412,676424439,4,0.415414,0.458899,575.028556,0.041717,0.022823,0,0.002386,0,1,0.314103,0.227052,245
43,Norwich City,,premier-league,England,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,26,20,46,79489116,166700589,246189705,4,0.398198,0.446833,224.392665,0.025179,0.015332,0,0.001653,0,1,0.41129,0.155112,204
46,Real Zaragoza,,laliga,Spain,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,18,27,45,57919958,189775645,247695603,5,0.420952,0.4681,268.698463,0.032309,0.042963,1,0.001619,0,1,0.320106,0.187428,121
47,Juventus FC,,serie-a,Italy,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,115,112,227,1790993561,1225453489,3016447050,4,0.503417,0.578431,2189.331849,0.315083,0.298777,3,0.00275,0,1,0.328218,1,770
48,RCD Mallorca,,laliga,Spain,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,15,29,44,36987631,210558387,247546018,4,0.462343,0.508673,196.87991,0.025747,0.037875,1,0.001541,0,1,0.314943,0.194887,137
49,CA Osasuna,,laliga,Spain,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,18,21,39,28223161,86386872,114610033,4,0.433333,0.472474,219.566598,0.020352,0.027607,1,0.001755,0,1,0.314815,0.147593,119
50,Real Valladolid CF,,laliga,Spain,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,12,15,27,15304278,51066261,66370539,4,0.415414,0.452489,157.344871,0.004875,0.019061,1,0.001684,0,1,0.363158,0.086633,69
51,Rayo Vallecano,,laliga,Spain,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,8,12,20,9968692,58706960,68675652,4,0.388401,0.425716,84.832044,0.002798,0.009349,1,0.001715,0,1,0.30719,0.050159,47
52,Real Madrid,,laliga,Spain,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,71,66,137,1872739850,1102412330,2975152180,4,0.494407,0.553167,794.94924,0.129659,0.140073,1,0.002188,0,1,0.387841,0.62391,555
53,UD Las Palmas,,laliga,Spain,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,4,12,16,7064752,41449592,48514344,4,0.390459,0.428356,52.592547,0.00225,0.012248,1,0.001109,0,1,0.373626,0.061052,34
54,Athletic Bilbao,,laliga,Spain,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,20,7,27,126111437,251561426,377672863,4,0.393939,0.422323,32.146974,0.015421,0.012054,1,0.001187,0,1,0.464052,0.107747,71
55,Racing Santander,,laliga,Spain,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,11,19,30,19366166,89695948,109062114,4,0.416196,0.457014,293.397395,0.00637,0.027454,1,0.001571,0,1,0.3083,0.129195,78
56,Real Sociedad,,laliga,Spain,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,22,18,40,154298650,238192394,392491044,4,0.423372,0.463047,128.465062,0.03957,0.025075,1,0.001576,0,1,0.393548,0.193179,183
59,RCD Espanyol Barcelona,,laliga,Spain,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,38,34,72,114339140,237082833,351421973,4,0.454733,0.50641,628.311423,0.03946,0.055962,1,0.002337,0,1,0.326638,0.273952,309
61,Celta de Vigo,,laliga,Spain,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,19,29,48,96309971,210100822,306410793,4,0.448276,0.496229,272.318893,0.022939,0.047585,1,0.00191,0,1,0.380682,0.210963,201
62,Valencia CF,,laliga,Spain,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,64,57,121,637300896,764977372,1402278268,4,0.482533,0.546003,1350.106878,0.100093,0.10442,1,0.002856,0,1,0.314754,0.537203,576
63,Villarreal CF,,laliga,Spain,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,54,34,88,402091642,375510093,777601735,4,0.444668,0.493213,528.269764,0.071208,0.071993,1,0.00247,0,1,0.314716,0.385767,355
65,Málaga CF,,laliga,Spain,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,23,38,61,87737658,248500437,336238095,4,0.464286,0.515083,242.036785,0.036763,0.053063,1,0.001759,0,1,0.403175,0.262262,254
66,Deportivo Alavés,,laliga,Spain,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,12,14,26,28184101,72231281,100415382,5,0.38704,0.421719,75.991395,0.01903,0.009768,3,0.001242,0,1,0.398693,0.097276,61
67,CD Numancia,,laliga,Spain,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,2,5,7,963118,5357414,6320532,5,0.347484,0.372851,8.616713,0.001662,0.001804,1,0.000927,0,1,0.47619,0.015053,10
68,Real Oviedo,,laliga,Spain,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,0,1,1,0,396546,396546,5,0.311798,0.326276,0,0,0.000647,1,0.000629,0,23,0,0.00317,0
69,Borussia Dortmund,,1-bundesliga,Germany,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,56,61,117,595083462,793889639,1388973101,4,0.479393,0.546757,988.638913,0.061531,0.07203,2,0.002421,0,1,0.326345,0.415335,467
74,Bayer 04 Leverkusen,,1-bundesliga,Germany,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,50,58,108,309908249,448197437,758105686,4,0.473233,0.532428,1071.811914,0.041999,0.08127,2,0.002042,0,1,0.386892,0.375892,366
77,Bayern Munich,,1-bundesliga,Germany,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,53,50,103,912377284,449876968,1362254252,4,0.479393,0.53356,1067.526848,0.084951,0.082736,2,0.001959,0,1,0.361702,0.428918,408
78,TSV 1860 Munich,,1-bundesliga,Germany,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,4,25,29,5519881,43526256,49046137,4,0.403285,0.449472,276.548167,0.003784,0.020774,2,0.001417,0,1,0.532164,0.099036,91
79,1.FC Kaiserslautern,,1-bundesliga,Germany,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,18,21,39,16217479,47340595,63558074,4,0.401818,0.443062,183.087406,0.018465,0.015856,2,0.001537,0,1,0.406154,0.135991,132
80,AJ Auxerre,,ligue-1,France,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,20,33,53,42891075,160900661,203791736,4,0.463312,0.513198,280.279927,0.020879,0.043217,4,0.001742,0,1,0.375,0.215472,198
82,Hamburger SV,,1-bundesliga,Germany,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,56,52,108,220223160,251470365,471693525,4,0.490022,0.548265,1047.012658,0.056333,0.067638,2,0.002516,0,1,0.309091,0.409918,459
84,SC Freiburg,,1-bundesliga,Germany,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,36,32,68,65137505,140463426,205600931,4,0.420952,0.467195,452.894427,0.024111,0.027045,2,0.001957,0,1,0.365419,0.182803,205
86,1. FC Köln,,1-bundesliga,Germany,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,34,23,57,104541775,96333122,200874897,4,0.436759,0.479638,234.625971,0.038097,0.024417,2,0.001605,0,1,0.387097,0.209865,180
88,SpVgg Unterhaching,,1-bundesliga,Germany,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,4,7,11,1586835,2813850,4400685,4,0.355878,0.38273,13.718931,0.002032,0.003925,2,0.000998,0,1,0.583333,0.026245,21
89,CS Sedan-Ardennes,,ligue-1,France,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,0,16,16,0,32344350,32344350,4,0.41573,0.457958,0,0,0.013857,4,0.001271,0,34,0.419048,0.06018,44
90,FC Hansa Rostock,,1-bundesliga,Germany,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,11,6,17,4494732,7698851,12193583,5,0.354735,0.379487,39.528036,0.007827,0.005043,2,0.001055,0,1,0.490909,0.042477,27
91,VfB Stuttgart,,1-bundesliga,Germany,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,44,50,94,123695785,286814683,410510468,4,0.478355,0.532051,1037.588886,0.055495,0.058181,2,0.002364,0,1,0.31448,0.380315,417
93,VfL Bochum,,1-bundesliga,Germany,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,12,20,32,9370419,37257718,46628137,4,0.394643,0.435143,91.620044,0.010063,0.016455,2,0.001321,0,1,0.538095,0.095124,113
94,Eintracht Frankfurt,,1-bundesliga,Germany,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,44,19,63,85664042,150316204,235980246,4,0.424184,0.46267,281.769677,0.047233,0.02243,1,0.001915,0,1,0.355856,0.221105,237
98,Eintracht Braunschweig,,1-bundesliga,Germany,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,1,7,8,533884,8849568,9383452,5,0.349684,0.378356,0.299825,0.000302,0.005538,2,0.000906,0,1,0.809524,0.025668,17
99,MSV Duisburg,,1-bundesliga,Germany,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,3,8,11,1559221,8092182,9651403,4,0.373942,0.403846,7.337567,0.001785,0.006452,2,0.000995,0,1,0.644444,0.030761,29
100,SV Werder Bremen,,1-bundesliga,Germany,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,49,30,79,151719285,230556996,382276281,4,0.45567,0.500377,625.630322,0.059058,0.039814,2,0.002121,0,1,0.307317,0.274007,252
101,FC Schalke 04,,1-bundesliga,Germany,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,51,37,88,296191270,267379819,563571089,4,0.477322,0.525641,995.317886,0.052232,0.039752,2,0.002407,0,1,0.318182,0.292019,315
104,Hertha BSC,,1-bundesliga,Germany,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,28,28,56,145354227,137226678,282580905,4,0.437624,0.485671,301.81185,0.028546,0.026789,2,0.001657,0,1,0.377016,0.188499,187
105,FC Energie Cottbus,,1-bundesliga,Germany,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,6,11,17,1952554,16888059,18840613,4,0.386364,0.418552,15.418094,0.005523,0.012119,2,0.000921,0,1,0.709091,0.065671,39
107,AS Roma,,serie-a,Italy,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,96,87,183,900631209,956392014,1857023223,4,0.511574,0.574284,2105.029015,0.237979,0.229603,3,0.002822,0,1,0.305092,0.811075,695
109,Brescia Calcio,,serie-a,Italy,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,12,27,39,32000954,133185900,165186854,4,0.425819,0.473228,349.574476,0.017903,0.089126,3,0.001619,0,1,0.478632,0.233037,168
110,AC Parma,,serie-a,Italy,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,20,20,40,272319975,458241200,730561175,4,0.406998,0.443816,347.870412,0.050566,0.050831,3,0.001639,0,1,0.356725,0.194805,61
